,CountVectorizer,HashingVectorizer,TfidfVectorizer
CalibratedClassifierCV,89% (0 ms / 0 ms),90% (0 ms / 0 ms),91% (0 ms / 0 ms)
LinearDiscriminantAnalysis,28% (61 ms / 0 ms),,26% (60 ms / 0 ms)
DummyClassifier,15% (0 ms / 0 ms),15% (0 ms / 0 ms),15% (0 ms / 0 ms)
AdaBoostClassifier,57% (1 ms / 0 ms),52% (13 ms / 0 ms),54% (2 ms / 0 ms)
BaggingClassifier,76% (9 ms / 0 ms),75% (27 ms / 0 ms),73% (10 ms / 0 ms)
ExtraTreesClassifier,86% (8 ms / 0 ms),88% (73 ms / 1 ms),87% (8 ms / 0 ms)
GradientBoostingClassifier,87% (42 ms / 0 ms),85% (205 ms / 0 ms),86% (65 ms / 0 ms)
RandomForestClassifier,84% (6 ms / 0 ms),86% (55 ms / 1 ms),86% (6 ms / 0 ms)
GaussianProcessClassifier,22% (2682 ms / 2857 ms),,90% (2561 ms / 2555 ms)
LogisticRegression,88% (1 ms / 0 ms),87% (14 ms / 0 ms),90% (1 ms / 0 ms)
LogisticRegressionCV,88% (48 ms / 0 ms),89% (456 ms / 0 ms),90% (36 ms / 0 ms)
PassiveAggressiveClassifier,89% (0 ms / 0 ms),90% (0 ms / 0 ms),90% (0 ms / 0 ms)
Perceptron,89% (0 ms / 0 ms),88% (0 ms / 0 ms),88% (0 ms / 0 ms)
RidgeClassifier,88% (1 ms / 0 ms),90% (1 ms / 0 ms),90% (0 ms / 0 ms)
RidgeClassifierCV,88% (4 ms / 0 ms),89% (4 ms / 0 ms),90% (4 ms / 0 ms)
SGDClassifier,88% (0 ms / 0 ms),90% (0 ms / 0 ms),90% (0 ms / 0 ms)
BernoulliNB,86% (0 ms / 0 ms),55% (0 ms / 0 ms),86% (0 ms / 0 ms)
CategoricalNB,,,15% (7 ms / 3 ms)
ComplementNB,90% (0 ms / 0 ms),,90% (0 ms / 0 ms)
GaussianNB,86% (1 ms / 4 ms),,85% (1 ms / 4 ms)
MultinomialNB,89% (0 ms / 0 ms),,86% (0 ms / 0 ms)
KNeighborsClassifier,60% (0 ms / 1 ms),76% (0 ms / 10 ms),88% (0 ms / 9 ms)
NearestCentroid,59% (0 ms / 0 ms),70% (0 ms / 0 ms),86% (0 ms / 0 ms)
MLPClassifier,90% (32 ms / 0 ms),90% (863 ms / 0 ms),91% (57 ms / 0 ms)
LinearSVC,89% (0 ms / 0 ms),90% (0 ms / 0 ms),90% (0 ms / 0 ms)
NuSVC,85% (7 ms / 6 ms),88% (8 ms / 5 ms),90% (8 ms / 5 ms)
SVC,88% (6 ms / 5 ms),89% (7 ms / 5 ms),90% (8 ms / 5 ms)
DecisionTreeClassifier,69% (1 ms / 0 ms),66% (4 ms / 0 ms),67% (1 ms / 0 ms)
ExtraTreeClassifier,58% (0 ms / 0 ms),57% (1 ms / 0 ms),51% (0 ms / 0 ms)
